"İllerde yaşam endeksi gösterge değerleri, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Indicator values of well-being index for provinces, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Konut
Housing",,,,"Çalışma hayatı
Aydın,,"1,5","78,6","18,0",,"51,4","6,9","53,9","81,6",,6 739,"34,9","49,9",,"9,2","78,7",4 954,"73,4","78,0",,"40,0","304,4","202,5","14,0","70,8",,"65,0","38,8","98,2","14,4","77,3",,"38,4","3,0","63,3","82,2",,"90,7","17,9","5,0",,"11,0","90,0","632,8","63,9",,"64,4","128,7","85,4","52,1",,"53,5"
Balıkesir,,"1,6","88,6","16,7",,"44,4","6,0","56,0","86,9",,6 583,"29,7","45,0",,"7,1","77,6",6 702,"75,4","83,0",,"37,3","316,2","199,9","14,2","82,7",,"50,0","44,8","90,2","15,5","73,4",,"26,9","3,1","76,3","88,7",,"91,3","19,2","5,7",,"12,1","88,5","33,8","74,1",,"58,5","69,8","90,5","75,0",,"70,7"
Bilecik,,"1,5","97,3","12,8",,"48,2","6,5","67,1","85,2",,3 176,"41,4","40,5",,"8,8","77,7",7 752,"74,0","81,5",,"39,6","314,3","198,1","13,9","76,8",,"54,5","54,7","81,6","11,6","79,9",,"9,5","2,9","75,6","89,9",,"92,4","20,7","7,7",,"12,6","80,3","26,1","70,5",,"19,3","72,1","91,8","49,4",,"63,6"
Bingöl,,"1,2","87,9","27,8",,"50,8","7,0","54,2","71,2",,1 580,"23,4","55,9",,"14,5","77,8",5 627,"69,3","66,8",,"28,7","292,5","193,5","11,8","68,3",,"30,0","33,1","60,6","15,8","39,9",,"11,3","1,9","66,6","84,1",,"84,2","25,5","8,3",,"3,5","59,2","112,8","42,6",,"23,5","0,0","90,9","52,4",,"59,5"
Bitlis,,"0,9","88,4","40,7",,"41,5","10,6","54,9","71,0",, 839,"26,5","65,8",,"14,1","77,5",5 984,"70,8","72,5",,"30,7","263,5","193,4","11,4","69,0",,"53,0","19,5","59,5","16,1","47,2",,"26,6","1,5","57,9","85,7",,"83,9","27,4","8,5",,"3,4","57,5","28,7","49,2",,"9,1","29,6","91,8","49,7",,"59,1"
Bolu,,"1,5","99,9","9,4",,"50,0","9,6","58,2","85,4",,4 500,"44,6","38,9",,"6,8","79,2",4 330,"75,0","85,0",,"39,0","318,1","198,0","14,2","81,5",,"78,0","61,9","67,4","9,5","75,5",,"14,0","3,3","72,7","90,1",,"90,7","18,6","3,9",,"12,4","70,1","0,0","56,3",,"48,9","267,2","91,1","56,3",,"70,2"
Burdur,,"1,5","86,5","13,5",,"54,9","6,9","55,5","82,5",,5 212,"31,0","46,6",,"13,8","78,6",6 774,"75,6","78,8",,"42,4","328,8","203,8","13,4","74,6",,"46,0","45,2","67,9","15,8","74,3",,"23,4","3,7","77,5","87,2",,"92,2","18,2","5,2",,"9,6","63,9","20,7","52,4",,"21,5","0,0","86,2","68,4",,"56,8"
Bursa,,"1,4","96,1","17,5",,"48,0","6,6","64,1","82,8",,6 326,"42,8","46,7",,"8,6","77,5",5 620,"76,2","77,3",,"35,5","310,6","202,2","14,5","73,5",,"85,3","44,8","99,8","26,3","75,5",,"16,9","2,2","62,0","82,8",,"90,6","17,3","7,1",,"13,5","99,5","27,3","72,2",,"101,0","137,8","87,6","61,2",,"61,1"
Çanakkale,,"1,5","86,7","17,8",,"45,0","6,1","58,0","81,9",,5 232,"31,4","46,2",,"7,5","77,7",5 238,"70,1","79,8",,"41,7","319,4","199,5","15,2","75,5",,"48,0","53,1","64,5","13,5","70,4",,"19,5","2,8","76,8","87,1",,"90,7","18,5","6,4",,"14,1","65,8","855,3","61,3",,"63,5","103,4","87,5","64,8",,"63,6"
Çankırı,,"1,6","93,7","16,0",,"42,4","6,8","58,6","78,3",,3 196,"39,1","42,4",,"9,9","78,2",6 221,"74,6","81,8",,"39,5","306,2","192,9","11,5","79,6",,"34,0","25,5","69,7","8,3","57,5",,"10,9","3,2","77,6","91,5",,"89,6","21,5","8,5",,"7,9","70,7","7,0","52,1",,"35,7","79,0","91,2","45,4",,"73,5"
Çorum,,"1,5","92,0","20,4",,"48,9","5,9","52,5","72,3",,3 822,"30,7","53,3",,"9,5","78,3",6 765,"63,1","78,2",,"34,8","313,2","200,6","10,8","69,2",,"45,0","35,5","71,2","9,7","65,8",,"36,0","3,2","69,2","83,8",,"89,3","31,6","5,3",,"7,4","71,1","15,9","53,8",,"32,3","0,0","90,5","45,3",,"56,6"
Denizli,,"1,4","88,5","15,7",,"54,0","6,5","52,9","84,1",,7 142,"39,0","44,5",,"7,9","78,8",5 344,"75,6","80,1",,"41,5","320,1","204,0","13,6","71,7",,"72,0","46,3","99,5","15,6","79,5",,"32,7","3,2","62,9","83,8",,"92,5","20,2","5,3",,"11,1","90,0","60,9","58,5",,"101,1","129,9","85,4","55,9",,"56,7"
Diyarbakır,,"0,9","86,4","28,0",,"30,2","18,7","55,1","71,6",,1 510,"28,8","72,4",,"14,0","78,2",4 240,"65,2","70,8",,"29,2","251,5","195,3","11,9","66,1",,"62,0","23,3","93,5","26,6","53,4",,"36,7","1,3","51,0","73,9",,"82,0","17,3","5,2",,"3,7","97,0","3543,7","57,7",,"38,9","120,3","85,9","29,5",,"48,7"
Edirne,,"1,5","82,1","13,7",,"50,1","7,8","53,1","78,5",,6 230,"39,4","47,4",,"6,9","77,7",4 243,"74,0","81,0",,"42,5","303,8","201,2","14,1","78,4",,"70,0","12,3","75,2","11,4","77,2",,"32,5","2,2","72,1","88,3",,"90,1","19,5","5,2",,"13,9","72,7","0,0","61,6",,"61,6","96,0","91,7","60,6",,"54,1"
Elazığ,,"1,4","89,5","24,0",,"48,9","7,8","57,0","72,8",,3 476,"32,4","54,7",,"11,4","78,5",4 053,"67,2","77,6",,"35,6","300,5","202,1","14,4","70,4",,"32,0","19,9","81,0","18,7","43,9",,"17,6","2,3","62,9","83,6",,"86,9","19,3","7,5",,"6,6","77,2","563,9","55,1",,"42,9","47,2","89,2","50,6",,"51,7"
Erzincan,,"1,4","89,0","22,5",,"47,7","6,7","63,3","79,8",,4 627,"34,2","44,6",,"8,7","79,1",5 687,"70,4","74,6",,"39,0","313,8","197,6","15,9","75,4",,"53,0","13,4","78,2","12,6","65,4",,"4,5","3,4","74,7","89,7",,"88,5","22,9","7,3",,"7,8","75,0","380,4","64,5",,"9,3","67,1","91,3","63,1",,"64,6"
Erzurum,,"1,1","83,1","28,0",,"46,7","6,6","59,9","79,2",,1 801,"30,8","50,3",,"12,8","77,3",3 744,"73,6","79,6",,"27,9","275,0","200,4","13,3","73,3",,"30,0","9,3","79,9","13,6","55,2",,"28,8","1,8","70,8","85,6",,"86,0","23,2","7,5",,"6,3","99,5","544,5","50,4",,"64,4","60,8","90,9","57,6",,"65,7"
Eskişehir,,"1,6","95,2","12,4",,"42,9","8,5","66,8","80,0",,6 570,"42,3","44,2",,"9,9","77,5",4 213,"74,0","75,5",,"41,2","323,3","202,4","18,2","57,7",,"31,0","25,2","98,9","21,5","81,0",,"17,2","2,4","61,1","77,2",,"90,7","18,1","5,6",,"15,5","95,0","3,1","66,2",,"144,0","152,9","86,2","48,8",,"62,7"
Gaziantep,,"1,0","87,1","19,5",,"43,6","6,9","52,7","73,6",,2 468,"27,9","58,7",,"17,7","76,7",5 916,"70,1","81,4",,"25,0","261,8","197,8","11,0","80,4",,"58,0","12,2","99,6","19,9","74,8",,"48,7","2,0","63,1","86,6",,"85,4","21,4","4,0",,"7,1","91,5","715,7","73,6",,"67,8","130,4","89,8","59,1",,"58,1"
Giresun,,"1,6","96,2","17,4",,"47,9","6,5","49,1","82,3",,4 701,"29,7","47,3",,"9,7","80,1",7 001,"72,5","85,1",,"47,2","315,2","195,3","12,6","83,7",,"49,0","36,1","64,2","13,5","67,7",,"25,6","2,2","77,8","90,9",,"87,0","22,1","6,0",,"8,9","58,6","53,1","65,9",,"32,9","32,1","92,2","65,6",,"65,5"
Gümüşhane,,"1,4","88,7","19,6",,"46,3","7,2","59,1","82,7",,2 668,"33,4","43,6",,"12,9","79,9",6 635,"69,3","84,8",,"28,8","322,0","198,3","13,8","84,1",,"63,0","27,3","67,9","9,9","62,6",,"6,8","2,6","78,3","88,4",,"82,9","17,8","8,6",,"6,1","71,1","217,3","61,5",,"1,3","0,0","89,8","57,3",,"61,1"
